;;Тема - астрологические созвездия;
;12;Антилопа – это красивое животное ничего в жизни не получает просто так. Для того чтобы добиться хороших результатов в какой-либо сфере, антилопе придётся очень потрудиться. Даже если она приложит все усилия и покажет все свои способности, результат может быть не радостным. Антилопе нужна команда, только так ее ждет успех в жизни. Не стоит ей быть одинокой – это делает ее беззащитной перед превратностями судьбы.;12_as.jpg
;13;Лось – независимое и свободное животное. Он свободен во всех планах: финансовом, географическом, любовном. Но для достижения своих целей лось должен ставить их перед собой очень четко, иначе его ждет только крах надежд. Лосю требуется жесткая дисциплина, мотивация для достижения целей и четкий алгоритм действий. Только в этом случае его ждет успех.;13_as.jpg
;14;Слон – символ благоразумия. Он находится в прекрасной физической форме и всегда готов дать достойный отпор врагам, не смотря на то, что кажется медлительным и неповоротливымю. Не стоит забывать о том, что слишком сильная физическая нагрузка вредна и может сломать даже такого мощного зверя как слон. Слон доброжелателен, но при этом силен и настойчив. Ему нельзя использовать свою силу во вред окружающим людям. ;14_as.jpg
;15;Рыба-клоун – символизирует успех и удачу во всех начинаниях. Яркая окраска рыбы-клоуна, к сожалению, привлекает внимание не только доброжелателей, но и врагов. Не стоит ей отходить слишком далеко от родного дома и задумывать длительные путешествия. Завершение начатых дел, успех, богатство ждут рыбу-клоуна лишь рядом с родным домом, в нем ее опора и защита.;15_as.jpg
;16;Рысь – символ коварства и хитрости. Это животное сильный соперник и недруг, которого стоит опасаться. Она может разрушить все ваши планы, разрушить жизнь и семью: рысь способна на все. Опасайтесь страшного соперничества, но если схватки не избежать, то приложите все свои силы и, возможно, победа будет за вами! Не забывайте о хитрости рыси никогда, ее удары часто очень неожиданные.;16_as.jpg
;17;Лошадь – трудолюбивое, усердное животное. Оно имеет настолько мощную энергию, что не всегда может ей управлять самостоятельно. Лошади требуется мудрый и опытный наставник, который поможет ей проложить ей путь в самостоятельную жизнь. Лошадь любит труд, она дисциплинирована и всегда нацелена только на лучший результат. Поэтому и своих целей она всегда достигает!;17_as.jpg
;18;Бабочка – символ молодости и легкомыслия. Но в определенный момент она все же накапливает достаточный опыт для перехода на следующий жизненный этап. Бабочка сбрасывает с себя все старое и ненужное и с радостью летит в новый мир, полный открытий и свершений. Бабочка способна расти духовно, но она должна быть очень осторожной, ведь ее враги никогда не дремлют. Не нужно забывать, что кроме красоты она может принести в ваш дом  большие финансовые потери. ;18_as.jpg
;19;Улитка – очень медлительное животное. Она бы могла добиться лучших результатов, если бы вела себя немного порасторопнее. Дела ее двигаются очень медленно, даже если она нацелена на хороший результат. Улитка просто не может иначе! Зато цель ее всегда будет достигнута, пусть и за более долгий промежуток времени. Так улитка чувствует себя комфортно.  Она хорошо защищена   домиком, который всегда рядом, в каком бы направлении она не двигалась.;19_as.jpg
;20;Жираф – символ бесполезных мечтаний, приносящих только сумбур и путаницу. Он очень красив, высок, но чрезвычайно глуп. Многие могут увлечься его красотой, но зря. Люди, общающиеся с ним, начинают путать мечты с реальностью, что очень затрудняет путь к поставленной цели. Подумайте, а так ли вам нужно это общение, мешающее сбыться вашим чаяниям и ожиданиям?;20_as.jpg
;21;Носорог – мечтатель. Это символ грез, от которых не стоит отказываться в любом возрасте. Носорог поражает своей детскостью, не закостенелостью, но свои дела и работу он при этом выполняет замечательно. Носорог – счастливый символ, он говорит о том, что работать нужно с любовью, весельем, а не думать о труде ежечасно, с неохотой. В этом случае задуманное исполнится.;21_as.jpg
;22;Леопард – грациозное пятнистое существо, поражающее своей красотой с первого взгляда. Однако его красота обманчива. Леопард – символ непостоянства и неискренности. Это существо обманет вас при первой возможности, не задумываясь. Будьте предельно осторожны при общении с леопардом, доверять ему нельзя, лучше пересмотрите свое к нему отношение. И никогда не забывайте, что леопард   –  хищник. И, когда он рядом, вам всегда нужно быть настороже.;22_as.jpg
;23;Белка – символ запасливости. У нее есть запасы любого уровня, будь то продукты на зиму или запас остроумных фраз на случай конфликта. Белка успешна, ее любят друзья и родные люди, работа у нее всегда спорится. Белка, которая любит трудиться, всегда будет жить в мире и благополучии. Она всегда готова принять  дорогих гостей и отдать им самые лучшие свои запасы.;23_as.jpg
;24;Бегемот – любвеобилен и быстро привязывается к своей второй половине. Правда, привнести в жизнь любимого разнообразие и яркость он не способен. Все-таки бегемот – это толстокожее животное, не слишком ориентирующееся на желание окружающих. Он часто влиятелен, интересен в общении, но, увы, ленив и пассивен.  Если вы ищете ярких эмоций – вам не по пути!;24_as.jpg
;25;Ежик – доброе животное, нуждающееся в покровительстве сильных мира сего. Он слаб и ему требуется защита. Еж чересчур увлечен делами других людей, до такой степени, что порой забывает и про собственные интересы. Ежу пора пересмотреть взгляд на жизнь и заняться, наконец, собой.  Возможно, ежу даже предстоит борьба за собственные интересы и личную свободу. Но чаще всего он предпочитает прятаться за колючей защитой, нежели отстаивать свои интересы.;25_as.jpg
;26;Павлин – яркость, красота и повышенная самооценка – вот основные качества, характеризующие данного персонажа. Внешний облик заботит павлина куда больше внутреннего, пора об этом задуматься и принять меры. Пустая голова и отсутствие эмоциональных, духовных связей не удержит никого надолго. Если павлин хочет крепкой дружбы или любви, он должен измениться!;26_as.jpg
;27;Лебедь – красивая и гордая птица собрала в себе целый комплекс отличных качеств. Лебедь духовно чист и мудр, целомудрен и благороден. Он всегда сможет дать отличный совет, часто, исходя из личного опыта. Лебедь имеет моральные принципы, переступить через которые не сможет ни при каких обстоятельствах. Он всегда стремится к совершенству и гармонии с собой и миром.;27_as.jpg
;28;Змея – двуликий символ. Она мудра и сильна. С другой стороны, змея – коварна и опасна. Для того чтобы вести с ней успешную борьбу, вы должны собрать все свои силы воедино и нанести мощный удар. Для соответствия врагу вы должны применить все свои знания и разум, будьте осторожны и уравновешены. Не рассказывайте никому об успехах в делах, это может навредить вам.;28_as.jpg
;29;Черная пантера – сильна, агрессивна и безжалостна. Она яростна, но терпелива, по отношению к ней уж точно действует закон естественного отбора. «Выживает сильнейший» - пантера выживет везде и всегда! Она имеет не только физическую силу, но и силу духа. Черная пантера всегда находится в боевой готовности, она рождена побеждать и это у нее замечательно получается.;29_as.jpg
;30;Панда – приятное и милое существо. Своим появление оно способно изменить жизнь кого-либо в лучшую сторону. Панда – символ спокойствия и мира. Это существо способно превратить атмосферу любого дома в тихую и уютную. Общение с пандой принесет покой, никаких нервных потрясений ждать не приходится. Цените то, что имеете! Однажды может стать слишком поздно.;30_as.jpg
;31;Крокодил – кровожадное существо, одновременно являющееся нежным и щедрым. Крокодил – настоящий делец, способный подставить партнера в самый неподходящий момент. Он может стать нечестным компаньоном, мечтающим без проблем отхватить у вас огромный кусок дохода, не слишком утруждая себя при этом. Ведя дела с крокодилом, всегда «держите ушки на макушке»!;31_as.jpg
;32;Кролик – символ робости и трусости. Он настолько пуглив, что способен испугаться даже собственной тени. Тем не менее, дела кролика всегда идут хорошо, он может научиться умело прятаться от врагов и уходить от подводных камней. Семейные и финансовые дела кролика всегда идут отлично, он неплохой переговорщик и трудяга. Общение с ним сулит радость всем.;32_as.jpg
;33;Волк – сильное и решительное животное. Его характер закален непростой жизнью. Для того чтобы получить желаемое, волку пришлось пройти через многое, но он мужественен, имеет стойкую непоколебимую веру в собственную силу, именно поэтому он принадлежит в элите, высшему звену, общества. Иметь такого сильного покровителя мечтает каждый, но удается это далеко не всем, волк разборчив в связях.;33_as.jpg
;34;Верблюд – символизирует препятствия, трудности и тревогу. На его пути их встречается очень много, но верблюд не останавливается на полпути к мечте. Главное для него – не вспоминать былое, не оборачивать голову в прошлое. Только вперед! Верблюд должен больше думать о себе, а не об окружающих, иначе путь к мечте оборвется, так как он чересчур сердоболен и склонен к самопожертвованию.;34_as.jpg
;35;Дельфин – символ любви, верности, счастья. Дельфин вобрал в себя целый арсенал положительных качеств. Он всегда находится в отличном настроении, никогда не предает друзей, напротив, способен вытащить близкого человека из любой передряги. Он очень добр, но при этом сохраняет собственное достоинство всегда. Дельфин весел, игрив, свободен и раскован.;35_as.jpg
;36;Коала – неприятный символ. Это животное – ваш злейший закоренелый враг, держащий злобу издавна. Впрочем, на добрых и адекватных людей коала никогда не злится. Ее враги виноваты сами, что занесены в ее «черный список». Грубость, бестактность, невежество – вот то, что коала ненавидит в окружающих людях. Будьте добрее, и боятся вам станет абсолютно нечего.;36_as.jpg
;37;Индюк – благоприятный знак. Хотя он часто имеет слишком повышенную самооценку и чересчур упрям, дела на работе всегда идут в гору. Индюк мечтает найти партнера, готового часами восхищаться его гениальностью, неповторимостью и красотой. Если индюк не научится любить других и не перестанет требовать от окружающих бесконечных дифирамбов в его честь, он рискует остаться в полном одиночестве. ;37_as.jpg
;;Тема - Деревья;
;1;Дуб – крепкое, здоровое дерево, плотно стоящее на земле. Красив и  силен, не стремится к переменам и не умеет быть гибким.  Дуб имеет величественный, спокойный, торжественный и солидный вид. Боится, что его посчитают трусом, поэтому очень смел и отважен. Всегда верен в дружбе, но не всегда верен в любовных отношениях. Дуб – консерватор, он не любит никаких перемен в жизни и стремится устроить все как нравится только ему. Не умеет быть гибким, что доставляет ему не мало хлопот.;1_d.jpg
;2;Береза – гибкая и элегантная,  всегда скромна и ненавидит вульгарность. Хоть она и имеет изящную внешность, тяжелый труд березе не чужд. Она верна, любит домашний уют и спокойную размеренную жизнь. Близким даст все, на что способна ее добрая скромная душа. Высокий интеллект, творческое мышление и изобретательность открывают перед березой многие двери в жизни. Главное, вовремя воспользоваться шансом!;2_bereza_2.JPG
;3;Яблоня – чувствительна, сентиментальна, любвеобильна и всегда верна. Она никогда не думает о собственной выгоде, совершенно бескорыстна, но при этом совсем не глупа и проста. Яблоня не любит рутину и монотонность. Время от времени ей необходима хорошая встряска, она освежит ее чувства и вернет радость жизни. При этом яблоня настоящий философ и интеллигент.;3_yablonya_2.jpg
;4;Пихта – обладательница холодной красоты. Не проста, но  приятна в общении, так как имеет завышенные требования к партнеру и капризна. Считает себя особой, поэтому даже в большом коллективе нередко одинока в душе. Трудно идет на компромиссы, не любит переговоры, но для достижения цели способна на многое. Очень серьезна, обладает аналитическим складом ума, в работе скрупулезна.;4_pihta.jpg
;5;Вяз – красивый, стройный, но не слишком следящий за собой. Он не любит усложнять и без того нелегкую жизнь, поэтому способен подолгу носить один любимый свитер. Он спокоен и чересчур медлителен. Очень тяжело переживает неудачи в любых сферах жизни. В любви он страстен, и если вязу посчастливиться обрести настоящие чувства, он не подведет вторую половинку никогда.;5_yaz.jpg
;6;Кипарис – обладатель строгой, суровой природной красоты и стройности. Всегда легко приспосабливается к различным жизненным ситуациям и условиям, довольствуется малым. Кипарис не амбициозен, для него не имеют значения деньги, слава, всеобщее признание. Он хочет простого счастья! Мечтателен, верен, любит порассуждать на интересные для него темы. ;6_kiparis.jpg
;7;Тополь – слишком рано начинает бояться старости, для него это настоящий бич. Не любит тесноту, предпочитает сам выбирать свое близкое окружение. При вынужденном общении с людьми чувствует себя замкнуто и неуютно. Ненавидит ущемление собственной свободы и впадает в таких ситуациях в глубокую депрессию. Трудно найти вторую половинку из-за стремления к независимости.;7_topol.jpg
;8;Кедр – мощное и раскидистое дерево. Легко приспосабливается к любым условиям. Хотя все же предпочтет комфортное существование. Его здоровье остается крепким на долгие годы. Не знает что такое стеснение, чувствует себя уютно в любой компании. Уверен в себе, но все же не слишком жалует шутки в свою сторону. Является оптимистом, не боится никаких перемен и опасностей.;8_kedr.jpg
;9;Сосна – красивая, умело подчеркивает свои достоинства. Отважна и непокорна, предпочитает всего в жизни добиваться самостоятельно. На пути к цели проявляет невероятное упорство, сбить ее с пути очень сложно. Ее не слишком волнуют неудачи соратников, главное, чтоб у нее все складывалось так, как было задумано ею. Из неприятностей выходит достойно. ;8_sosna.jpg
;10;Ива – таинственна и меланхолична, обладает притягательной странной красотой. Внешний вид ивы говорит о ее кротости, однако она сильна и независима. Обладает решительностью, но не любит командовать и навязывать свое мнение. В любви ищет острота и страданий, спокойные отношения иве быстро наскучат. Романтична и часто вносит в чувства лирические нотки. ;10_iva.jpg
;11;Липа – очень обаятельна, может вскружить голову любому. Спокойна, мечтательна, легко поддается на лесть. Липа молчалива и пессимистична, зачастую скука проходит через всю ее жизнь темным пятном. Общение с липой всегда приятное, она ценит любовь и дружбу, всегда выслушает и поможет ближнему. В качестве партнера мечтает найти настоящую родственную душу.;11_lipa.jpg
;12;Орешник – невзрачный и слабый, но при более близком знакомстве очень обаятелен. Имеет острый аналитический ум, но при этом любит помечтать. Его натура двойственна: орешник умеет быть добрым, нежным и терпеливым, а может быть злым и коварным. Если орешник влюбляется, то он готов на все, но не повезет тому, кто встанет у него на пути и не вызовет ни малейшей симпатии.;12_oreshnik.jpg
;13;Рябина – хрупка, но необыкновенно стойка. Очень милая, веселая, имеет отличный вкус. В ней нет ни капли эгоизма, напротив, она готова делать добро в ущерб себе. У нее сложный характер, поэтому контактировать с рябиной непросто. Никогда не простит ложь и измену, но для верного партнера способна на многое (хотя взамен также требует многого). Умна, эффектна и предусмотрительна.;13_ryabina.jpg
;14;Клен – кокетливый, аккуратный, следит за веяниями моды. Клен энергичен, неутомим и незауряден. Его голова всегда забита всевозможными планами, многие из них в реальность воплотить невозможно. Слегка циничен, ему нравится, когда о нем говорят в обществе. Умен, никогда не рассуждает в негативном ключе о чужих поступках. Клен – это очень многогранная личность.;14_klen.jpg
;15;Грецкий орех – весь состоит из противоречий. Он капризен, часто гонится за модой, любит эксцентричность, но робок в душе. Не смотря на агрессию и эгоизм, орех гостеприимный хозяин и умелый собеседник. Орех ревнивый и неуравновешенный в любовных отношениях. Любит риск, надеется только на себя, весьма наблюдателен и артистичен. Орех очень ценит собственную независимость. ;15_oreh.jpg
;16;Жасмин – не стремится быть в центре внимания, но всегда находится именно там. Жасмин оригинален, красив, общителен. Является пессимистом, хоть и старается это скрывать. Дипломатичен, ему знакомо чувство долга, но жасмин не хочет быть связанным обязательствами. Супружеская жизнь с ним нелегка, ведь жасмин легко разочаровывается в людях. Очень любит детей.;16_zasmin.jpg
;17;Ясень – мощный, но элегантный. Требователен, имеет живой характер, жизнь с ним сложна. Ясень стремится к независимости, но любит, когда о нем заботятся. Самолюбив, очень эгоистичен, на пути к цели способен разрушить до основания все вокруг. Очень умен, проницателен и редко ошибается.  Любит играть с судьбой, фантазировать, мечтать. Ясень – пример благополучия и успешности.;17_asen.jpg
;;Тема - карты таро;
;1;"Шут
Шут – вы стоите над бездной, т.е. на пороге больших перемен. И каким будет второй шаг – упадете или взлетите – зависит только от вас. Возможно, надо что-то  кардинально изменить в своей жизни, начать с чистого листа: сменить ненавистную работу, расстаться с нелюбимым человеком, переехать в другой дом, город или страну… Шут смеется над жизнью и только он имеет право строить рожи королю.
";1_the fool.jpg
;2;"Маг
Маг – это учитель, человек, способный творить чудеса, вдохновлять и побуждать к действию. Маг всегда говорит – действуйте! Не стоит больше ждать и сомневаться. Кроме того, не стоит отказываться от помощи или совета, даже если источник для вас новый или непривычный. Для достижения своей цели вам нужно больше внимания уделить общению с нужными, влиятельными людьми. Маг – это всегда ожидание чуда, которое обязательно произойдет.
";2_the magician.jpg
;3;"Верховная жрица
Пришло время обратить внимание на свой внутренний мир и духовное развитие. Возможно, обретя душевное равновесие, вы решите множество других, более материальных проблем. Но если вы стоите на пороге чего-то нового в своей жизни, то нужно подождать и ничего пока не предпринимать. Вы внутренне не готовы к таким переменам, поэтому даже самые радужные перспективы могут привести к разбитому корыту в итоге.
";3_vg.jpg
;4;"Императрица
Императрица дает возможность проявить свои лучшие качества: умение вести домашнее хозяйство, уделять внимание чужим нуждам. Уделите максимум внимания своей семье и дому и они отблагодарят вас душевным спокойствием и умиротворением. Императрице сопутствует успех в любых делах, связанных с семьей, любовью и детьми, а также в творчестве. Творите и созидайте, создавайте семью и любите.
";4_im.jpg
;5;"Император
Император олицетворяет собой власть и прежде всего над своей жизнью. Приведите в порядок свои дела, проявив императорскую мудрость и способность находить компромиссы в спорах с оппонентами. Император – это лидер, вызывающий уважение и доверие. Для достижения целей вам нужно стать дипломатом, но нельзя забывать о семье. Возможно, вам потребуется принять помощь влиятельного человека.
";5_imp.jpg
;6;"Вера (верховный жрец)
Верховный жрец – это мудрец и философ. Он хранитель традиций и кладезь знаний. Возможно, для решения вашего вопроса нужно обратиться к религии. Верховный жрец побуждает к обучению: запишитесь на курсы повышения квалификации или приобретите новую профессию. С другой стороны, если вы чувствуете в себе уверенность и силу, то пришла пора поделиться опытом: откройте собственную школу мастерства или займитесь преподаванием.
";6_vgrets.jpg
;7;"Влюбленные
Влюбленные мечтают всегда быть вместе, слиться душой и телом. Счастье так близко – в одном шаге. Но его нужно заслужить: прежде всего, победить собственные сомнения и недомолвки, подозрения и страх потери. Не нужно сомневаться  в своем избраннике, а просто  любить его всей душой. Скажите «Да!» новым отношениям или вдохните новую жизнь в уже существующие. Там где «влюбленные» -  страсть захлестнет с новой силой даже длительные отношения.
";7_vlub.jpg
;8;"Колесница
Колесница символизирует не столько привычные для нас средства передвижения, как внутреннего наездника – наше эго, стремящегося обуздать и направить в нужном направлении собственные пристрастия и нужды. Колесница вашей жизни будет равномерно продвигаться к намеченной цели только при ее соответствии внутренним желаниям. Хватит распыляться и ходить кругами. Сконцентрируйтесь и не давайте никому и ничему отвлекать вас от цели.
";8_kol.jpg
;9;"Сила
Так же, как юная хрупкая девушка побеждает тигра, так и сила духа должна подчинить себе внутренние животные страсти. Для решения достижения поставленной цели нужно проявить силу, но не физическую - решимость, настойчивость и стойкость. Не позволяйте себя оттеснить, но и не ввязывайтесь в конфликт. Возможно, вам придется взять на себя роль защитника близких. Обратите внимание на свое тело: займитесь спортом и правильным питанием.
";9_sila.jpg
;10;"Отшельник
Отшельник символизирует уединение и самопознание. Не спешите принимать решение и действовать – обратитесь за советом к мудрецу или внутрь себя. В каждом из нас скрыт свет истинного знания, но в повседневной суете мы его не видим. Хватит суетиться и нервничать, мир не остановиться, если вы возьмете паузу. Отойдите от дел, постарайтесь уединиться хотя бы на несколько дней и ситуация проясниться.
";10_otshel.jpg
;11;"Колесо фортуны
Наконец Фортуна вам улыбнулась. Пришло время рискнуть для достижения желаемого. Но риск должен быть оправдан: подготовьтесь и тщательно продумайте все детали, иначе удача может быстро обернуться неприятными последствиями. Будьте практичным и гибким, тогда Фортуна будет долго сопровождать вас по жизни. Воспринимайте все с юмором, и это спасет вас от разочарований.
";11_koleso.jpg
;12;"Правосудие
Правосудие подразумевает честность, открытость и четкое следование правилам и законам. Их нарушение приведет к заслуженному наказанию. Приведите в порядок документы, следите за четким выполнением условий договора, вовремя оплачивайте счета… Не стоит забывать и о защите собственных прав: если решить конфликт с помощью компромисса не удается, смело обращайтесь в суд.
";12_prav.jpg
;13;"Повешенный
Пришло время добровольно передать управление своими делами в другие руки, как бы тяжело это не было. Иногда для достижения результата нужно перевернуть собственный мир с ног на голову или замереть в подвешенном состоянии. Отойдите от дел, дайте поработать другим. Ничего пока не предпринимайте, из этого ничего не выйдет. Без вашего участия вещи сами займут те места, к которым стремятся.
";13_povesh.jpg
;14;"Смерть
Люди боятся Смерти, так как она несет боль, неизвестность и расставание с близкими людьми. Но без Смерти не было бы и самой жизни. Это обновление, очищение и перемены. Пришла пора избавиться от гнили и застоя в жизни. Избавьтесь от умерших отношений, уйдите с удручающей работы, выбросьте хлам, собираемый годами. Вы настолько запустили ситуацию, что теперь помогут только крайние меры.
";14_smer.jpg
;15;"Умеренность
В современном мире Умеренность не в почете. Может быть, поэтому мир в таком упадке? Необходимо равномерно и умеренно заботиться о теле, душе и разуме. Гармония достигается путем единства противоположностей, но не ублажения отдельных прихотей. Умеренность должна быть во всем: в еде и мыслях, эмоциях и спорте, сексе и работе, отдыхе и творчестве… Стремясь к балансу, вы достигнете успеха.
";15_umer.jpg
;16;"Дьявол
Дьявол не сулит ничего хорошего. Он провоцирует в нас самые губительные и разрушительные наклонности, заставляет выглядеть Дьяволом в глазах окружающих. Но бывают ситуации, в которых поступить иначе, чем проявить свои самые низменные черты, просто невозможно. Вы сами загнали себя в этот угол, и потому выбираться также придется самому. Но выбравшись, сделайте соответствующие выводы.
";16_diav.jpg
;17;"Башня
Падение башни символизирует крах всех личных и общественных ожиданий, разрушение устоев и смену правительства (в прямом и переносном смыслах). О приближении катастрофы могут говорить участившиеся мелкие неприятности. Это предупреждение: если вы сами не измените свою жизнь, то перемены произойдут без вашего участия и не самым приятным для вас способом. Придется снова по кирпичику выстраивать свою жизнь.
";17_bash.jpg
;18;"Звезда
Звезда благословляет вас на новые свершения, она вселяет душевное спокойствие и уверенность в своих силах. Загаданное желание обязательно сбудется, а мечта осуществится, если вы начнете действовать. Вся вселенная поможет вам в этом, а путеводная Звезда укажет путь. В первую очередь удача сопутствует творческим людям, поэтому постарайтесь добавить немного креатива в свою жизнь.
";18_zvez.jpg
;19;"Луна
Ночь – это время проявления самых потаенных желаний, время, когда засыпает разум и пробуждается наше подсознание. Луна озаряет мир мягким тусклым светом, заставляя внимательнее приглядываться к тому, что происходит вокруг и в первую очередь – к своим истинным желаниям. Возможно, кто-то ведет «двойную игру», поэтому не спешите с решениями, а постарайтесь больше узнать об истинной природе окружающих людей и предметов.
";19_lun.jpg
;20;"Солнце
Даже после самой темной ночи придет рассвет. Как Солнце питает энергией все живое на Земле, так и нам пришла пора с новой силой взяться за осуществление своих целей. Возьмите инициативу в свои руки, отправьтесь в путешествие, обратите на себя внимание. Начните вести себя, как счастливый человек: энергичный, веселый, жизнерадостный, - и вы станете счастливым!
";20_soln.jpg
